"module name","version","licenses","repository"
"onetime@2.0.1","2.0.1","MIT","https://github.com/sindresorhus/onetime"
"optionator@0.8.2","0.8.2","MIT","https://github.com/gkz/optionator"
"os-homedir@1.0.2","1.0.2","MIT","https://github.com/sindresorhus/os-homedir"
"os-tmpdir@1.0.2","1.0.2","MIT","https://github.com/sindresorhus/os-tmpdir"
"osenv@0.1.5","0.1.5","ISC","https://github.com/npm/osenv"
"p-finally@1.0.0","1.0.0","MIT","https://github.com/sindresorhus/p-finally"
"p-limit@1.1.0","1.1.0","MIT","https://github.com/sindresorhus/p-limit"
"p-locate@2.0.0","2.0.0","MIT","https://github.com/sindresorhus/p-locate"
"parse-json@2.2.0","2.2.0","MIT","https://github.com/sindresorhus/parse-json"
"path-exists@2.1.0","2.1.0","MIT","https://github.com/sindresorhus/path-exists"
"path-exists@3.0.0","3.0.0","MIT","https://github.com/sindresorhus/path-exists"
"path-is-absolute@1.0.1","1.0.1","MIT","https://github.com/sindresorhus/path-is-absolute"
"path-is-inside@1.0.2","1.0.2","(WTFPL OR MIT)","https://github.com/domenic/path-is-inside"
"path-key@2.0.1","2.0.1","MIT","https://github.com/sindresorhus/path-key"
"path-parse@1.0.5","1.0.5","MIT","https://github.com/jbgutierrez/path-parse"
"path-type@2.0.0","2.0.0","MIT","https://github.com/sindresorhus/path-type"
"pify@2.3.0","2.3.0","MIT","https://github.com/sindresorhus/pify"
"pinkie-promise@2.0.1","2.0.1","MIT","https://github.com/floatdrop/pinkie-promise"
"pinkie@2.0.4","2.0.4","MIT","https://github.com/floatdrop/pinkie"
"pkg-dir@1.0.0","1.0.0","MIT","https://github.com/sindresorhus/pkg-dir"
"pluralize@7.0.0","7.0.0","MIT","https://github.com/blakeembrey/pluralize"
"prelude-ls@1.1.2","1.1.2","MIT","https://github.com/gkz/prelude-ls"
"prettier@1.14.2","1.14.2","MIT","https://github.com/prettier/prettier"
"pretty-quick@1.6.0","1.6.0","MIT","https://github.com/azz/pretty-quick"
"process-nextick-args@1.0.7","1.0.7","MIT","https://github.com/calvinmetcalf/process-nextick-args"
"progress@2.0.0","2.0.0","MIT","https://github.com/visionmedia/node-progress"
"promise@7.3.1","7.3.1","MIT","https://github.com/then/promise"
"prop-types@15.6.0","15.6.0","MIT","https://github.com/reactjs/prop-types"
"pseudomap@1.0.2","1.0.2","ISC","https://github.com/isaacs/pseudomap"
"read-installed@4.0.3","4.0.3","ISC","https://github.com/isaacs/read-installed"
"read-package-json@2.0.13","2.0.13","ISC","https://github.com/npm/read-package-json"
"read-pkg-up@2.0.0","2.0.0","MIT","https://github.com/sindresorhus/read-pkg-up"
"read-pkg@2.0.0","2.0.0","MIT","https://github.com/sindresorhus/read-pkg"
